IMPOSSIBLE_ACTION,I can't do this now...,Nie możesz tego teraz zrobić...
IMPROVEMENT_DESC,{0} on a card for info,"Na karcie: {0}, aby uzyskać informacje"
IMPROVEMENTS,Improvements,Usprawnienia
INSPECTION_TITLE,DETAILS,SZCZEGÓŁY
INTERACTION,Interaction,INTERAKCJA
INVENTORY_CANNOT_CARRY,{0} doesn't have room for this...,{0} nie ma na to miejsca...
INVENTORY_FULL,inventory full,ekwipunek jest pełny
IS_NOT_EQUIPMENT,{0} is not equippable,Nie da się wyposażyć: {0}
JOURNAL_SUBTITLE_NAME,The {0} tale of {2}\n({1}),"Historia przygód: {2}\n({0}, {1})"
LIQUID_AUTO_FILLING,Filling with {0},Napełnianie: {0}
LIQUID_CONTAINER_EMPTY,{0} is empty,Opróżniono: {0}
LIQUID_TRANSFER,Transfer Liquid,Przelej płyn
LOAD,Load,Ładuj
LOADING,LOADING,ŁADOWANIE
FORMAT_MINUTES,0min,0min
MISSING_CARD_INHAND,Missing {0} in hand,Brakuje w ręce: {0}
MISSING_CARD_ONBOARD,Missing {0},Brakuje: {0}
MOVE_ITEM_TO_LOCATION,Move {0} to {1},Przenieś: {0} Do: {1}
NEW_BLUEPRINT,New Blueprint,Nowy schemat
NEW_DAMAGE,Something got damaged!,Coś zostało uszkodzone!
NEW_IMPROVEMENT,New Improvement,Nowe usprawnienie
NO_DAMAGES,No Damages To Repair,Brak uszkodzeń do naprawy
NO_IMPROVEMENTS,No Improvements Unlocked,Brak odblokowanych usprawnień
NONE,None,Brak
OFFICIAL_CHARACTERS,Premade Characters,Gotowe postacie
PAUSED,Paused,Zatrzymano
ENCOUNTER_AND,... and {0},... i {0}
ENCOUNTER_BUT,... but {0},"..., ale {0}"
PLAYER_CANNOT_CARRY,This is more than I can carry...,To więcej niż możesz unieść...
RESEARCH,Research,Badania
RESEARCHING,Researching...,Badanie...
RESUME,Resume,Wznów
SAFETY_MODE,Safety Mode,Tryb bezpieczny
SAVE,Save,Zapisz
SAVE_NEW_GAME,Save New Game,Zapisz nową grę
SELECT_CHARACTER,SELECT CHARACTER,WYBIERZ POSTAĆ
SELECTED_CARDS,Selected Cards,Wybrane karty
SLOT,Slot,Zapis
START_BUILDING,Start the construction of ,Rozpocznij budowę
STAT_INFLUENCES,Influenced by,Przyczyny
INVENTORY_STORE,Store inside,Przechowaj wewnątrz
SUCCESS_CHANCE,Success,Szanse powodzenia:
SURVIVAL_BONUS,Survival bonus,Premia za przetrwanie
TIME_IS_BETWEEN,It's between {0} and {1},Jest między {0} a {1}
TIP,Tip,Porada
TRANSFER_TO_LOCATION,Move Item,Przenieś przedmiot
TRASH_CONFIRM,Throw {0} away?,Wyrzucić: {0}?
DEMO_UNAVAILABLE,Full Game Only,Tylko w pełnej wersji
UNKNOWN_AUTHOR,Unknown Author,Nieznany autor
TO_UNLOCK,To unlock: ,Aby odblokować:
VICTORY,I SURVIVED!,UDAŁO SIĘ PRZETRWAĆ!
VICTORY_BONUS,Victory Bonus,Premia za zwycięstwo
ENCOUNTER_WEAPON_AND_PROJECTILE,{0} and {1},{0} i {1}
WOUNDED,YOU GOT WOUNDED!,OTRZYMUJESZ RANĘ!
WOUNDS,Wounds,Rany
GuideManager_AllTips[0],Stay hydrated! Dehydration will kill you much faster than starvation.,Zadbaj o zapasy wody pitnej! Odwodnienie zabije cię dużo szybciej niż głód.
GuideManager_AllTips[1],You can bookmark cards from their description windows so you can quickly jump to them.,"Możesz dodawać karty do zakładek, aby móc szybko do nich potem wracać. Przyciski zakładek są w oknie z widokiem szczegółowym karty."
GuideManager_AllTips[2],You can right-click on cards to make them quickly jump from one row to another.,"Kliknij prawym przyciskiem myszy na kartę, aby szybko przenieść ją między rzędami."
GuideManager_AllTips[3],You can move stacks from one row to another by holding left-click on the top or bottom of a card.,"Możesz szybko przenosić stosy kart między rzędami, przytrzymując lewy przycisk myszy przy górnej lub dolnej krawędzi karty."
GuideManager_AllTips[4],You can cut down Banana Trees and get fresh water from their stumps.,Możesz ściąć bananowca i pozyskać wodę z pnia.
GuideManager_AllTips[5],"You can refill perforated coconuts, just make sure they don't rot while liquids are inside.","Możesz ponownie napełniać nakłute kokosy, ale upewnij się, że nie zgniją, gdy będą wypełnione płynem."
GuideManager_AllTips[6],Keep an eye on your temperature. Heat and cold CAN and WILL kill you!,Uważaj na temperaturę. Gorąco i zimno mogą cię zabić!
GuideManager_AllTips[7],"If you're too hot, consider taking clothes off or getting wet to lower your temperature.","Jeśli jest ci zbyt gorąco, rozważ zdjęcie ubrań lub zmoczenie się, aby obniżyć temperaturę ciała."
GuideManager_AllTips[8],Take 15 minutes break when low on stamina to avoid overheating and exhausting yourself too much.,"Gdy poziom twojej wytrzymałość jest niski, zrób sobie 15-minutowy odpoczynek, aby uniknąć przegrzania i wyczerpania."
GuideManager_AllTips[9],"Aloe Vera can help you treat and prevent Sunburn, Bug Bites and Backpain among other things.","Aloes może pomóc w leczeniu i zapobieganiu m.in. oparzeniom słonecznym, ukąszeniom owadów i bólom pleców."
GuideManager_AllTips[10],You can burn Snakegrass on a campfire to get some cheap bug protection.,"Możesz spalić wetiwerię w ognisku, aby tanio zabezpieczyć się przed owadami."
GuideManager_AllTips[11],"Citronella Oil, crafted by grinding Lemongrass and boiling it in oil, is an essential ingredient for Bug Repellant Candles.","Olejek cytronelowy, uzyskiwany przez zmielenie trawy cytrynowej i zagotowanie jej w oleju, to kluczowy składnik świec odstraszających owady."
GuideManager_AllTips[12],"Clay Bowls can be fired on a normal campfire, there's no need to build a kiln for them.",Gliniane miski możesz wypalać na zwykłym ognisku. Nie musisz do tego budować pieca.
GuideManager_AllTips[13],"If you're not immunized, make sure to have dry Cinchona tree bark at hand to treat Malaria.","Jeśli nie masz jeszcze odporności na malarię, zawsze miej pod ręką suchą korę chinowca. Może to uratować ci życie."
EncounterWindow_StatEnforcedPlayerActions[0].LogMessage.LogText,Fear overwhelms you!\n<b>You disentangle yourself from the fight as best you can and run for dear life!</b>,"Ogarnia cię przemożny strach!\n<b>Wycofujesz się z walki najlepiej, jak potrafisz, i uciekasz, ratując życie!</b>"
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionName,Demoralized Escape,Ucieczka ze strachu
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionSuccessLog.LogText,you manage to escape!,udaje ci się uciec!
EncounterWindow_StatEnforcedPlayerActions[0].Action.ActionFailureLog.LogText,you manage to escape!,udaje ci się uciec!
EncounterWindow_PlayerEscapeAction.ActionName,Escape!,Uciekaj!
EncounterWindow_PlayerEscapeAction.ActionSuccessLog.LogText,you manage to escape!,udaje ci się uciec!
EncounterWindow_PlayerEscapeAction.ActionFailureLog.LogText,you manage to escape!,udaje ci się uciec!
EncounterWindow_PlayerGetCloseAction.ActionName,Charge,Szarżuj
EncounterWindow_PlayerGetCloseAction.ActionSuccessLog.LogText,you move into close combat!,przechodzisz do walki wręcz!
EncounterWindow_PlayerGetCloseAction.ActionFailureLog.LogText,you move into close combat!,przechodzisz do walki wręcz!
EncounterWindow_EnemyHiddenLog.LogText,{0} catches you off guard!,{0} atakuje z zaskoczenia!
EncounterWindow_EnemyHiddenPluralLog.LogText,{0} catch you off guard!,{0} atakują z zaskoczenia!
EncounterWindow_PlayerHiddenLog.LogText,{0} hasn't noticed you yet...,{0} jeszcze cię nie widzi...
EncounterWindow_PlayerHiddenPluralLog.LogText,{0} haven't noticed you yet...,{0} jeszcze cie nie widzą...
EncounterWindow_PlayerStealthAttackLog.LogText,You approach silently...,Zakradasz się bezszelestnie...
EncounterWindow_PlayerWeaponActionSuccessLog.LogText,you manage to land a hit with your {1}.,udaje ci się trafić. ({1})
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[0],"your {1} connects, landing a solid hit.",udaje ci się zadać solidny cios. ({1})
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[1],you succeed in striking with your {1}.,zadajesz udane trafienie swoją bronią. ({1})
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[2],your {1} finds its mark.,{1} trafia prosto w cel.
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[3],you land a successful blow with your {1}.,zadajesz porządne uderzenie z użyciem twojej broni. ({1})
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[4],your {1} makes a successful impact.,{1} uderza cel.
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[5],you land a solid strike with your {1}.,{1} zadaje solidny cios.
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[6],your {1} strikes true.,{1} trafia w sam środek.
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[7],your {1} makes a successful impact.,{1} uderza cel.
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[8],you secure a hit with your {1}.,{1} sięga celu.
EncounterWindow_PlayerWeaponActionSuccessLog.AlternateLogTexts[9],you manage to score a hit with your {1}.,z powodzeniem kierujesz cios prosto w cel. ({1})
EncounterWindow_PlayerWeaponActionFailureLog.LogText,you fail to land a hit with your {1}.,atak się nie powiódł - {1} trafia tylko w próżnię.
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[0],"your aim is off,  your {1} failing to connect.","chybiasz kompletnie, {1} przeszywa powietrze."
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[1],"the target evades, leaving your {1} to hit only air.","twój cel unika, {1} przeszywa powietrze."
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[2],"your {1} comes up empty, missing the target completely.","{1} przeszywa powietrze, kompletnie omijając cel."
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[3],your {1} strikes nothing but air.,"pudło, {1} w nic nie trafia."
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[4],"your attack falls short, your {1} failing to reach its target.","uderzasz za blisko, {1} nie sięga nawet celu."
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[5],"your {1} misses the mark, leaving your target untouched.","{1} chybia kompletnie, twój cel jest nietknięty."
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[6],"your {1} misses, causing a brief stir in the air but nothing more.","pudłujesz, {1} chybia ze świstem."
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[7],"your {1} comes up empty, missing the mark entirely.","{1} przeszywa powietrze, zupełnie omijając cel."
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[8],"your {1} finds only air, your attack off the mark.","{1} pudłuje, nie muskając nawet celu."
EncounterWindow_PlayerWeaponActionFailureLog.AlternateLogTexts[9],"your {1} fails to make its mark, hitting nothing but thin air.","{1} chybia, nie powodując nawet muśnięcia."
EncounterWindow_DefaultPlayerWinsEncounterLog.LogText,You are victorious!,Zwycięstwo!
EncounterWindow_DefaultEnemyWinsEncounterLog.LogText,You retreat from combat.,Wycofujesz się z walki.
EncounterWindow_DefaultEncounterIsATieLog.LogText,You retreat from combat.,Wycofujesz się z walki.
HELP,Help,Pomoc
CARD_INSPECTION_TITLE,DETAILS,SZCZEGÓŁY
CONFIRM_QUESTION,Confirm?,Potwierdzić?
CONTINUE,Continue,Kontynuuj
NO,No,Nie
YES,Yes,Tak
OBJECTIVE_COMPLETE,OBJECTIVE COMPLETE,ZADANIE UKOŃCZONE
AMBIENCE,Ambience,Tło
SFX,Sound Effects,Efekty
CUSTOMIZE_UI,Customize UI (Coming Soon),Dostosuj interfejs użytkownika (Wkrótce)
INTERFACE,INTERFACE,INTERFEJS
VOLUME,VOLUME,GŁOŚNOŚĆ
MISC,MISC.,RÓŻNE
RESET_GAME,Reset Game,Zresetuj grę
REVERT_OPTIONS,Revert to Default Options,Przywróć domyślne ustawienia
VISUAL_EFFECTS,Visual effects,Efekty wizualne
FULLSCREEN,Fullscreen,Pełny ekran
INVERT_SCROLL,Invert Horizontal Scroll,Odwróć przewijanie poziome
FONT_STYLE,Font Style,Styl czcionki
APPLY,Apply,Zastosuj
DISPLAY,DISPLAY,GRAFIKA
SCROLL_SENSITIVITY,Scroll Sensitivity,Czułość przewijania
LANGUAGE,Language,Język
RESOLUTION,Resolution,Rozdzielczość
VSYNC,VSync,VSync
RESET_GAME_CONFIRM,"This will delete all progress, custom characters and unlocked perks, and reset the options.\nReset the game?","Spowoduje to usunięcie wszystkich postępów, własnych postaci, odblokowanych modyfikatorów oraz zresetowanie opcji.\nZresetować grę?"
LANGUAGE_CHANGE_CONFIRM,Changing the language requires a restart (your progress will be saved if you're in a run). Do you wish to proceed?,"Zmiana języka wymaga ponownego uruchomienia (postęp zostanie zapisany, jeśli jesteś w trakcie rozgrywki). Kontynuować?"
OPTIONS_MENU_TITLE,OPTIONS,OPCJE
CONFIRM_DELETE_SLOT,Delete this slot?,Usunąć ten zapis?
NEW_GAME,NEW GAME,NOWA GRA
GAMEMODE_LIST,GAMEMODES,TRYBY GRY
EASY_MODE_TITLE,EASY MODE,TRYB ŁATWY
THANKS_CHINESE_VIDEOS,"大头哥哥的游戏世界, 逆风笑, 老番茄 & 冰IC\n<size=75\n%>For their bilibili videos on Card Survival.</size>","大头哥哥的游戏世界, 逆风笑, 老番茄 i 冰IC\n<size=75\n%>Za ich filmiki o Card Survival na Bilibili.</size>"
TROPICAL_ISLAND_SUBTITLE,Tropical Island,Tropikalna wyspa
PURCHASE,Purchase,Odblokuj
MIDJOURNEY,Portraits created using MidJourney,Portrety stworzone przy użyciu MidJourney
THE_FIRST_DAYS,The First Days,Pierwsze dni
SAVE_CHARACTER,Save Character,Zapisz postać
SAFE_MODE,Safety Mode,Tryb bezpieczny
SAVEFILE_WRITING_ERROR,"It seems there was an error while attempting to write the save file for the game. \n\nUnfortunately this means your current game can't be saved. If you have opened your save file in another program this could be the cause for the error, close that program and try saving again.\n\nIf this is not the case and this message keeps appearing, please notify us in the Steam forums and send us your Player.log file at winterspringgames@gmail.com. Our apologies for the inconvenience.","Wygląda na to, że wystąpił błąd podczas próby zapisania gry.\n\nNiestety oznacza to, że bieżąca gra nie może zostać zapisana. Jeśli otwarto wcześniej plik zapisu w innym programie, może to być przyczyną błędu, zamknij ten program i spróbuj zapisać ponownie.\n\nJeśli tak nie jest i ta wiadomość nadal się pojawia, powiadom nas na forach Steam i prześlij plik Player.log na adres winterspringgames@gmail.com. Przepraszamy za niedogodności."
EQUIPPED_PERKS,Equipped Perks,Wybrane modyfikatory
OUR_TRANSLATION_VOLUNTEERS,Our translation volunteers:,Nasi tłumacze-wolontariusze:
CREATE_CHARACTER_DESC,Customize the experience by creating your own character,"Dostosuj grę do swoich potrzeb, tworząc własną postać"
SPECIAL_THANKS,Special thanks to:,Szczególne podziękowania dla:
DONT_REMIND_EASY_PACKAGE,"Yes, stop reminding me","Tak, przestań mi przypominać"
SELECT_A_PERK,SELECT A PERK,Wybierz modyfikator
THANKS_RETROMATION,Retromation \n<size=75\n%>For being an all around great guy & for showing our game to the world.</size>,Retromation \n<size=75\n%>Za bycie świetnym gościem i pokazanie naszej gry światu.</size>
EXIT_CHARACTER_WITHOUT_SAVING,Exit without saving?,Wyjść bez zapisywania?
STARTING_CONDITIONS,Starting Conditions,Warunki początkowe
OUR_CHINESE_VOLUNTEERS,Our chinese translation volunteers:,Nasi chińscy tłumacze-wolontariusze:
EXIT_CHARACTER_WITHOUT_NAME,Please enter a name for your character,Proszę podać imię dla postaci
START_GAME_BUTTON,START GAME,ROZPOCZNIJ GRĘ
CREATE_NEW_CHARACTER,CREATE NEW CHARACTER,STWÓRZ NOWĄ POSTAĆ
OK,OK,OK
DELETING_PORTRAIT,DELETING CUSTOM PORTRAIT...,USUWANIE PORTRETU...
THANKS_THENEOMARE,"The Neomare \n<size=75\n%>For being another great guy, showing constant support both in his Youtube channel & the forums, & for his work on updates 41 & 42.</size>","The Neomare \n<size=75\n%>Za bycie kolejnym świetnym gościem i ciągłe wspieranie nas na swoim kanale YouTube, na forum oraz za jego pracę nad aktualizacjami 41 & 42.</size>"
ALLOWED_CHARACTERS,Allowed Characters,Dozwolone postacie
OUR_PATRONS,Our supporters on Patreon:,Nasi wspierający na Patreon:
LOADING_PORTRAITS,LOADING CUSTOM PORTRAITS...,ŁADOWANIE PORTRETÓW...
SELECT_GAMEMODE,NEW GAME - SELECT GAMEMODE,NOWA GRA - WYBIERZ TRYB
DELETE_CONFIRM,Are you sure you want to delete?\n,Czy na pewno chcesz usunąć?\n
THANKS_TIMMEKEMMIT,"Matthew Kemmit aka ""Doc""\n<size=75%>For sharing your knowledge and ideas with us!</size>","Matthewowi Kemmit aka ""Doc""\n<size=75%>Za dzielenie się z nami swoją wiedzą i pomysłami!</size>"
QUIT_CONFIRM_MENU,Quit the game?,Zakończyć grę?
CARD_SURVIVAL_TITLE,CARD SURVIVAL,CARD SURVIVAL
OUR_OTHER_GAMES,Our other games,Inne nasze gry
EASY_PACKAGE_TOGGLE,Easy Mode,Tryb łatwy
DEMO_SAVEWRITING_WARNING,"<b>IMPORTANT NOTE:</b>\nYOUR PROGRESS WILL NOT BE SAVED\n\n""The First Days"" cannot store progress on saves created by the full game.","<b>WAŻNA UWAGA:</b>\nTWÓJ POSTĘP NIE ZOSTANIE ZAPISANY\n\n""Pierwsze dni"" nie mogą zapisać postępu w plikach zapisu utworzonych przez pełną wersję gry."
CANCEL_EASY_PACKAGE,Cancel,Anuluj
EASY_PACKAGE_DESC,Card Survival is designed to be challenging and unforgiving.\n\nEasy Mode provides you with basic supplies so you can have more time to learn and train.,"Card Survival jest zaprojektowane tak, aby stanowiło wyzwanie i nie wybaczało błędów.\n\nTryb łatwy zapewnia podstawowe zaopatrzenie, dzięki czemu masz więcej czasu na naukę i trening."
GAME_BY,By WinterSpring Games:,Od WinterSpring Games:
INFO_AND_NEWS,INFO & NEWS,INFO & NOWOŚCI
IMPORTING_PORTRAIT,IMPORTING CUSTOM PORTRAIT...,IMPORTOWANIE WŁASNEGO PORTRETU...
DEMO_GET_FULL_GAME,Get the full <b>GAME</b>,Kup pełną <b>GRĘ</b>
ENTER_NAME,ENTER NAME,WPROWADŹ IMIĘ
SELECT_GAME,SELECT GAME,WYBIERZ ZAPIS
NEXT,NEXT,DALEJ
EDIT_CHARACTER,Edit Character,Edycja postaci
THANKS_FAMILIES,"Our Families\n<size=75%>For their trust, patience & love.</size>","Naszym rodzinom\n<size=75%>Za ich zaufanie, cierpliwość i miłość.</size>"
DELETE_PORTRAIT_CONFIRM,Delete custom portrait?,Usunąć portret?
ENTER_BIO,Enter Character Bio,Wprowadź opis postaci
PLAY,PLAY,GRAJ
CHARACTERS,CHARACTERS,POSTACIE
BOUGHT,Purchased,Odblokowane
MOONS_TITLE,Moons,Księżyce
MOONS_DESC,You earn one moon per 30 days of survival,"Zdobywasz jeden księżyc za każde 30 dni, jakie uda ci się przeżyć"
SAFETY_MODE_TITLE,Safety Mode,Tryb bezpieczny
SAFETY_MODE_DESC,Allows you to restart the day from the menu or when you die.,Pozwala na restart dnia z menu lub po śmierci.
SUNS_TITLE,Suns,Słońca
SUNS_DESC,You earn one sun per day of survival,"Zdobywasz jedno słońce za każdy dzień, jaki uda ci się przeżyć"
CANCEL_ACTION,CANCEL,ANULUJ
NO_BLUEPRINT_AVAILABLE,Explore and find items to unlock blueprints,"Zwiedzaj i znajduj przedmioty, aby odblokować nowe schematy"
BLUEPRINT_MODELS,BLUEPRINTS,PLANY
GO_TO_MENU,Go to menu,Przejdź do menu
OPTIONS,Options,Opcje
RESTART_DAY,Restart Day,Zacznij dzień od nowa
SAVE_AND_QUIT,Save and Quit,Zapisz i zakończ
CHECKPOINT_CONFIRM,Restart from the start of this day?,Cofnąć do początku tego dnia?
MENU,MENU,MENU
QUIT_CONFIRM,Save and quit to main menu?,Zapisać i wyjść do głównego menu?
STATS_TITLE,STATS,STATYSTYKI
AUTOFILL,Fill Required Items,Uzupełnij automatycznie
THROW_AWAY,Throw away,Wyrzuć
TAKE_OUT_ITEMS,Take out all items,Wyjmij wszystko
RENAME_CARD,Rename Card,Zmień nazwę karty
THROW_ALL_AWAY,Throw \nall away,Wyrzuć \nwszystkie
THROW_ONE_AWAY,Throw 1 away,Wyrzuć 1
CONFIRM_CAPS,CONFIRM,OK
BLUEPRINT_RESEARCHED_TITLE,BLUEPRINT RESEARCHED,ZBADANO SCHEMAT
BLUEPRINT_RESEARCHED_DESC,I discovered a new Blueprint!,Odkryto nowy schemat!
PERK_UNLOCKED,PERK UNLOCKED!,ODBLOKOWANO NOWY MODYFIKATOR!
SEARCH,Search...,Szukaj...
WEATHER_INDICATOR,Weather:,Pogoda:
BUY,Buy,Kup
SURVIVAL_CODEX,SURVIVAL GUIDE,PORADNIK PRZETRWANIA
DRAG_TO_BUILD,(Drag here to build),"(Przeciągnij tutaj, aby zbudować)"
STAT_DETAILS_STATUS,Status:,Stan:
PERK_INSTRUCTIONS,Use Perks to create new playable characters!,"Użyj modyfikatorów, aby stworzyć własne unikalne postacie!"
FULL_GAME_FEATURES,"All Characters + Character Creator\nAll Island Environments, Animals, Crops and Blueprints","Wszystkie postacie + Kreator postaci\nWszystkie środowiska wyspy, zwierzęta, uprawy i schematy"
SAVING_ERROR_TEXT,"It seems there was an error while attempting to write the save file for the game. \n\nUnfortunately this means your current game can't be saved. If you have opened your save file in another program this could be the cause for the error, close that program and try saving again.\n\nIf this is not the case and this message keeps appearing, please notify us in the Steam forums and send us your Player.log file at winterspringgames@gmail.com. Our apologies for the inconvenience.\n\nIn the meantime, what would you like to do?","Wygląda na to, że wystąpił błąd podczas próby zapisania gry.\n\nNiestety oznacza to, że bieżąca gra nie może zostać zapisana. Jeśli otwarto wcześniej plik zapisu w innym programie, to może być przyczyną błędu, zamknij ten program i spróbuj zapisać ponownie.\n\nJeśli tak nie jest i ta wiadomość nadal się pojawia, powiadom nas na forach Steam i prześlij plik Player.log na adres winterspringgames@gmail.com. Przepraszamy za niedogodności.\n\nW międzyczasie, co chcesz zrobić?"
FOR_THE_FULL_EXPERIENCE,For the full experience click on the image below:,"Aby doświadczyć gry w pełni, kliknij na poniższy obrazek:"
OPEN_JOURNAL,Open Journal,Otwórz dziennik
DIARY,Diary,Pamiętnik
JOURNAL,Journal,Dziennik
BLUEPRINTS,Blueprints,Schematy
WAITING_OPTIONS,Waiting Options,Opcje odpoczynku
SKILLS,Skills,Umiejętności
STATS,Stats,Statystyki
ITEMS_LOST,Some items were lost,Niektóre przedmioty zostały utracone:
